train_loss,eval_loss,train_acc,eval_acc
1.8625574111938479,1.8673979043960571,59.64,59.12
1.842757225036621,1.8478144407272339,61.7175,61.12
1.8347558975219727,1.8348771333694458,62.497499999999995,62.36000000000001
1.8245004415512085,1.8315716981887817,63.535,62.79
1.819214463233948,1.823105812072754,64.0425,63.7
1.819214463233948,1.8223381042480469,64.0425,63.690000000000005
1.8044382333755495,1.8073256015777588,65.5025,65.22
1.8007248640060427,1.810958743095398,65.915,64.81
1.7893166542053223,1.7889046669006348,67.07499999999999,67.05
1.7755322456359863,1.785874843597412,68.4875,67.36999999999999
1.7642241716384888,1.773250937461853,69.535,68.65
1.7642241716384888,1.7720246315002441,69.535,68.81
1.7601484060287478,1.7706350088119507,69.97,68.84
1.7585275173187256,1.7634148597717285,70.11749999999999,69.62
1.7486121654510498,1.758612871170044,71.1975,70.13000000000001
1.7483885288238528,1.7537871599197388,71.1975,70.7
1.7475258111953735,1.755554437637329,71.27250000000001,70.5
1.7455792427062986,1.74996817111969,71.4675,70.93
1.7431821823120115,1.7467362880706787,71.745,71.35000000000001
1.738281846046448,1.7418729066848755,72.2025,71.84
1.7365018129348755,1.7463667392730713,72.4275,71.39999999999999
1.7365018129348755,1.747136116027832,72.4275,71.32
1.7354631423950195,1.7475414276123047,72.515,71.19
1.7302820682525635,1.7441155910491943,73.02499999999999,71.57
1.727920651435852,1.7353808879852295,73.315,72.46000000000001
1.727920651435852,1.7398219108581543,73.315,71.89999999999999
1.7276525497436523,1.73824942111969,73.2675,72.15
1.7243810892105103,1.7367839813232422,73.6225,72.37
1.7243810892105103,1.7385226488113403,73.6225,72.09
1.7240164279937746,1.739119529724121,73.6425,72.11999999999999
1.7227294445037844,1.7344169616699219,73.8125,72.6
1.7227294445037844,1.735008955001831,73.8125,72.49
1.7205271720886228,1.7321666479110718,74.0375,72.78999999999999
1.7199474573135374,1.730849027633667,74.07000000000001,72.86
1.7191675901412964,1.73184335231781,74.1475,72.77
1.7191675901412964,1.7305045127868652,74.1475,72.96000000000001
1.7191675901412964,1.7309162616729736,74.1475,72.94
1.7191675901412964,1.7332457304000854,74.1475,72.67
1.7191675901412964,1.7364236116409302,74.1475,72.36
1.717322826385498,1.732620358467102,74.335,72.67
1.717322826385498,1.728277325630188,74.335,73.2
1.7163146734237673,1.730454921722412,74.445,73.0
1.7163146734237673,1.7243584394454956,74.445,73.65
1.7163146734237673,1.7271850109100342,74.445,73.3
1.7163146734237673,1.727953553199768,74.445,73.19
1.7145718336105347,1.7342288494110107,74.64,72.53
1.7145718336105347,1.731403112411499,74.64,72.81
1.7145718336105347,1.7295693159103394,74.64,73.06
1.7145718336105347,1.7273017168045044,74.64,73.34
1.7145718336105347,1.7248884439468384,74.64,73.61
1.7145718336105347,1.7273502349853516,74.64,73.31
1.7145718336105347,1.7293833494186401,74.64,73.03
1.7145718336105347,1.7293493747711182,74.64,72.99
1.712994933128357,1.7303047180175781,74.8,72.95
1.712994933128357,1.7222692966461182,74.8,73.83
1.712994933128357,1.7261121273040771,74.8,73.38
1.712994933128357,1.7273138761520386,74.8,73.24000000000001
1.712994933128357,1.7270777225494385,74.8,73.29
1.7129422426223753,1.726159930229187,74.775,73.31
1.7129422426223753,1.7285040616989136,74.775,73.11
1.7129422426223753,1.7323288917541504,74.775,72.78
1.712748885154724,1.7276673316955566,74.7475,73.29
1.712748885154724,1.7236040830612183,74.7475,73.75
1.712748885154724,1.7317619323730469,74.7475,72.83
1.7084877490997312,1.7262994050979614,75.2625,73.37
1.7084877490997312,1.733310341835022,75.2625,72.72
1.7084877490997312,1.7261286973953247,75.2625,73.29
1.7084877490997312,1.7281904220581055,75.2625,73.28
1.7084877490997312,1.7254728078842163,75.2625,73.42999999999999
1.7084877490997312,1.7266876697540283,75.2625,73.36
1.7084877490997312,1.725472092628479,75.2625,73.49
1.7084877490997312,1.725690484046936,75.2625,73.42
1.7084877490997312,1.7275619506835938,75.2625,73.2
1.7084877490997312,1.7265251874923706,75.2625,73.36
1.7084877490997312,1.7245579957962036,75.2625,73.53
1.7084877490997312,1.7272025346755981,75.2625,73.31
1.7084877490997312,1.7269984483718872,75.2625,73.26
1.7084877490997312,1.7262320518493652,75.2625,73.38
1.7084877490997312,1.723276972770691,75.2625,73.71
1.7084877490997312,1.7284590005874634,75.2625,73.13
1.7084877490997312,1.7239681482315063,75.2625,73.57000000000001
1.7084877490997312,1.7250027656555176,75.2625,73.5
1.7084877490997312,1.723615050315857,75.2625,73.63
1.7078670263290405,1.7260648012161255,75.3375,73.33
1.7078670263290405,1.72286856174469,75.3375,73.8
1.7078670263290405,1.7275495529174805,75.3375,73.26
1.7077000141143799,1.7234982252120972,75.375,73.72
1.7040271759033203,1.722658395767212,75.7125,73.8
1.703425049781799,1.7253457307815552,75.79249999999999,73.46000000000001
1.703425049781799,1.725426197052002,75.79249999999999,73.46000000000001
1.703425049781799,1.7292193174362183,75.79249999999999,73.06
1.703425049781799,1.7203576564788818,75.79249999999999,74.00999999999999
1.703425049781799,1.718485713005066,75.79249999999999,74.15
1.703425049781799,1.718593955039978,75.79249999999999,74.25
1.703425049781799,1.7252894639968872,75.79249999999999,73.58
1.703425049781799,1.7174674272537231,75.79249999999999,74.32
1.703425049781799,1.7229881286621094,75.79249999999999,73.68
1.703425049781799,1.722821831703186,75.79249999999999,73.75
1.703425049781799,1.7257468700408936,75.79249999999999,73.41
1.703425049781799,1.7263413667678833,75.79249999999999,73.42
