train_loss,eval_loss,train_acc,eval_acc
1.8607115745544436,1.8681141138076782,59.872499999999995,59.01
1.8383872509002686,1.8416773080825806,62.114999999999995,61.73
1.8291845321655273,1.836408019065857,63.044999999999995,62.33
1.8175024986267088,1.8275519609451294,64.19749999999999,63.160000000000004
1.8175024986267088,1.8224388360977173,64.19749999999999,63.72
1.8079876899719236,1.8126832246780396,65.17500000000001,64.74
1.8061236143112183,1.8031656742095947,65.4125,65.66
1.8053343296051025,1.8124808073043823,65.4225,64.73
1.7939618825912473,1.801606297492981,66.58,65.89
1.7923978567123413,1.7989988327026367,66.7025,66.03
