train_loss,eval_loss,train_acc,eval_acc
1.705065965652466,1.7384164333343506,75.6425,72.18
1.7006725072860718,1.7340550422668457,76.1625,72.61
1.6911894083023071,1.718111276626587,77.16,74.15
1.6911894083023071,1.7189066410064697,77.16,74.1
1.6908625364303589,1.7214208841323853,77.21249999999999,73.88
1.6853806972503662,1.7194101810455322,77.8725,74.09
1.6853806972503662,1.7227859497070312,77.8725,73.75
1.6839857101440432,1.720422625541687,77.9725,73.96000000000001
1.6811103820800781,1.7157433032989502,78.28,74.33
1.6811103820800781,1.7183572053909302,78.28,74.21
1.6811103820800781,1.7152494192123413,78.28,74.39
1.6811103820800781,1.7163779735565186,78.28,74.33999999999999
1.6811103820800781,1.7195533514022827,78.28,74.05000000000001
1.6802566051483154,1.7187670469284058,78.3975,74.0
1.6789277791976929,1.7183030843734741,78.5625,74.15
1.6789277791976929,1.7161253690719604,78.5625,74.35000000000001
1.6789277791976929,1.7214994430541992,78.5625,73.89
1.6789277791976929,1.7185190916061401,78.5625,74.18
1.6789277791976929,1.7142539024353027,78.5625,74.5
1.6789277791976929,1.714266061782837,78.5625,74.53
1.6789277791976929,1.721872091293335,78.5625,73.78
1.6789277791976929,1.7177138328552246,78.5625,74.3
1.6789277791976929,1.7144031524658203,78.5625,74.63
1.6789277791976929,1.7214744091033936,78.5625,73.79
1.6787593364715576,1.7175580263137817,78.5925,74.33999999999999
1.678400993347168,1.7189552783966064,78.62,74.11999999999999
1.678400993347168,1.716921329498291,78.62,74.37
1.678400993347168,1.7146663665771484,78.62,74.52
1.678400993347168,1.7091624736785889,78.62,75.07000000000001
1.678400993347168,1.723681092262268,78.62,73.6
1.678400993347168,1.7191513776779175,78.62,74.06
1.678400993347168,1.715010404586792,78.62,74.5
1.6771929264068604,1.720576524734497,78.7325,73.92999999999999
1.6771929264068604,1.7162296772003174,78.7325,74.36
1.6771929264068604,1.718429684638977,78.7325,74.08
1.6771929264068604,1.7145965099334717,78.7325,74.41
1.6771929264068604,1.7168394327163696,78.7325,74.29
1.6771929264068604,1.7119982242584229,78.7325,74.81
1.6771929264068604,1.714922308921814,78.7325,74.53
1.6771929264068604,1.7186535596847534,78.7325,74.16
1.6771929264068604,1.7170838117599487,78.7325,74.2
1.6771929264068604,1.7174500226974487,78.7325,74.25
1.6771929264068604,1.7150086164474487,78.7325,74.55000000000001
1.6748875379562378,1.7181109189987183,79.015,74.19
1.6748875379562378,1.7143254280090332,79.015,74.63
1.6748875379562378,1.7161999940872192,79.015,74.41
1.6748875379562378,1.7166390419006348,79.015,74.31
1.6748875379562378,1.7171459197998047,79.015,74.35000000000001
1.6748875379562378,1.7156025171279907,79.015,74.51
1.6748875379562378,1.7117857933044434,79.015,74.85000000000001
1.6748875379562378,1.7126611471176147,79.015,74.78
1.6748875379562378,1.714766025543213,79.015,74.42999999999999
1.6748875379562378,1.7199407815933228,79.015,74.0
1.6748875379562378,1.720516562461853,79.015,73.94
1.6748875379562378,1.7107634544372559,79.015,74.86
1.6748875379562378,1.7231491804122925,79.015,73.6
1.6748875379562378,1.718363881111145,79.015,74.11999999999999
1.6748875379562378,1.715789794921875,79.015,74.45
1.6748875379562378,1.718320369720459,79.015,74.19
1.6748875379562378,1.7192025184631348,79.015,74.11
1.6748875379562378,1.7122873067855835,79.015,74.79
1.6748875379562378,1.7161996364593506,79.015,74.36
1.6748875379562378,1.7130151987075806,79.015,74.72
1.6748875379562378,1.7160929441452026,79.015,74.38
1.6748875379562378,1.7145943641662598,79.015,74.41
1.6748875379562378,1.7209564447402954,79.015,73.95
1.6748875379562378,1.7139378786087036,79.015,74.65
1.6748875379562378,1.7181917428970337,79.015,74.25
1.6748875379562378,1.7203824520111084,79.015,73.92
1.6748875379562378,1.717260718345642,79.015,74.31
1.6748875379562378,1.7181161642074585,79.015,74.22
1.6748875379562378,1.7140650749206543,79.015,74.59
1.6748875379562378,1.7198039293289185,79.015,74.06
1.6748875379562378,1.7147709131240845,79.015,74.53999999999999
1.6748875379562378,1.7191379070281982,79.015,74.15
1.6748875379562378,1.7180918455123901,79.015,74.22
1.6748875379562378,1.7172572612762451,79.015,74.26
1.6748875379562378,1.7143514156341553,79.015,74.58
1.6748875379562378,1.7147257328033447,79.015,74.51
1.6748875379562378,1.720004916191101,79.015,73.96000000000001
1.6748875379562378,1.7194879055023193,79.015,74.05000000000001
1.6748875379562378,1.714646339416504,79.015,74.66000000000001
1.6748875379562378,1.7192847728729248,79.015,74.0
1.6748875379562378,1.7225791215896606,79.015,73.86
1.6748875379562378,1.7163422107696533,79.015,74.35000000000001
1.6748875379562378,1.7141263484954834,79.015,74.57000000000001
1.6748875379562378,1.7151696681976318,79.015,74.55000000000001
1.6748875379562378,1.7174509763717651,79.015,74.26
1.6748875379562378,1.7129249572753906,79.015,74.75
1.6748875379562378,1.717647910118103,79.015,74.32
1.6748875379562378,1.7137166261672974,79.015,74.61
1.6748875379562378,1.7122613191604614,79.015,74.81
1.6748875379562378,1.7192884683609009,79.015,73.98
1.6748875379562378,1.716532826423645,79.015,74.35000000000001
1.6748875379562378,1.7124154567718506,79.015,74.71
1.6748875379562378,1.7166882753372192,79.015,74.24
1.6748875379562378,1.7118253707885742,79.015,74.83
1.6748875379562378,1.7152808904647827,79.015,74.56
1.6748875379562378,1.7195463180541992,79.015,74.02
1.6748875379562378,1.7138820886611938,79.015,74.62
