train_loss,eval_loss,train_acc,eval_acc,train_reg
35.356895446777344,30.557743072509766,15.17,12.94,869.5418701171875
35.356895446777344,30.557743072509766,15.17,12.94,869.5418701171875
32.7448616027832,32.482547760009766,10.152,10.07,812.1084594726562
33.5895881652832,33.48579788208008,15.882,15.959999999999999,865.0798950195312
29.115543365478516,29.19925308227539,11.042,10.99,801.8489990234375
32.79903793334961,32.85238265991211,10.85,10.6,795.0494384765625
24.577177047729492,24.801528930664062,18.556,17.59,851.9017333984375
24.577177047729492,24.801528930664062,18.556,17.59,851.9017333984375
24.577177047729492,24.801528930664062,18.556,17.59,851.9017333984375
31.429319381713867,31.341506958007812,14.356,14.149999999999999,780.2119140625
31.429319381713867,31.341506958007812,14.356,14.149999999999999,780.2119140625
24.694049835205078,24.711545944213867,22.342000000000002,22.0,835.861572265625
24.694049835205078,24.711545944213867,22.342000000000002,22.0,835.861572265625
24.694049835205078,24.711545944213867,22.342000000000002,22.0,835.861572265625
24.694049835205078,24.711545944213867,22.342000000000002,22.0,835.861572265625
33.162506103515625,33.02009201049805,11.41,10.93,755.0209350585938
23.32264518737793,23.46149444580078,23.200000000000003,22.66,826.197998046875
25.046924591064453,24.956113815307617,16.102,15.590000000000002,744.7571411132812
25.046924591064453,24.956113815307617,16.102,15.590000000000002,744.7571411132812
25.046924591064453,24.956113815307617,16.102,15.590000000000002,744.7571411132812
22.558815002441406,22.639131546020508,25.34,24.5,803.543212890625
26.69327735900879,26.632896423339844,16.89,16.56,743.078125
22.24563217163086,22.491012573242188,25.454,24.64,797.9667358398438
22.18619728088379,22.70488739013672,25.844,25.0,777.9052124023438
22.66686248779297,22.522720336914062,26.779999999999998,26.55,788.4249877929688
20.379255294799805,20.230058670043945,27.16,27.12,777.4927368164062
20.68546485900879,21.09958839416504,27.62,27.29,788.9782104492188
23.868349075317383,24.015573501586914,19.714000000000002,19.24,717.9007568359375
19.12989044189453,19.74498748779297,30.048000000000002,29.020000000000003,765.9524536132812
19.12989044189453,19.74498748779297,30.048000000000002,29.020000000000003,765.9524536132812
20.516429901123047,20.653488159179688,23.84,22.56,706.0328979492188
20.516429901123047,20.653488159179688,23.84,22.56,706.0328979492188
20.516429901123047,20.653488159179688,23.84,22.56,706.0328979492188
20.516429901123047,20.653488159179688,23.84,22.56,706.0328979492188
20.3872013092041,20.54224967956543,25.234,24.36,701.3570556640625
20.3872013092041,20.54224967956543,25.234,24.36,701.3570556640625
16.33797836303711,17.19133186340332,34.592,32.98,762.1114501953125
16.33797836303711,17.19133186340332,34.592,32.98,762.1114501953125
19.557470321655273,19.40948486328125,22.642,21.97,693.3859252929688
16.704065322875977,17.490013122558594,34.668,33.2,759.5382690429688
19.004772186279297,19.087610244750977,25.25,24.060000000000002,689.765380859375
19.004772186279297,19.087610244750977,25.25,24.060000000000002,689.765380859375
16.46642303466797,17.15825843811035,35.892,34.489999999999995,748.3403930664062
16.46642303466797,17.15825843811035,35.892,34.489999999999995,748.3403930664062
16.46642303466797,17.15825843811035,35.892,34.489999999999995,748.3403930664062
16.46642303466797,17.15825843811035,35.892,34.489999999999995,748.3403930664062
16.46642303466797,17.15825843811035,35.892,34.489999999999995,748.3403930664062
19.43621063232422,19.71971893310547,24.610000000000003,23.59,675.7786865234375
15.860821723937988,16.487104415893555,36.906,35.480000000000004,715.0590209960938
17.557453155517578,17.81180763244629,26.464,25.480000000000004,660.2542724609375
17.557453155517578,17.81180763244629,26.464,25.480000000000004,660.2542724609375
17.557453155517578,17.81180763244629,26.464,25.480000000000004,660.2542724609375
17.557453155517578,17.81180763244629,26.464,25.480000000000004,660.2542724609375
17.557453155517578,17.81180763244629,26.464,25.480000000000004,660.2542724609375
15.869379997253418,16.256750106811523,38.972,37.86,714.1625366210938
15.869379997253418,16.256750106811523,38.972,37.86,714.1625366210938
17.528987884521484,17.790319442749023,26.823999999999998,25.91,659.2556762695312
14.335339546203613,14.697196960449219,39.638,38.58,703.6029663085938
15.383661270141602,15.967819213867188,40.032000000000004,38.79,699.289794921875
15.193183898925781,15.664237976074219,34.012,32.82,646.8973999023438
15.193183898925781,15.664237976074219,34.012,32.82,646.8973999023438
15.193183898925781,15.664237976074219,34.012,32.82,646.8973999023438
13.670538902282715,14.091148376464844,41.182,39.17,689.0125732421875
14.913583755493164,15.459799766540527,35.014,33.26,642.9194946289062
14.913583755493164,15.459799766540527,35.014,33.26,642.9194946289062
13.688135147094727,14.19478702545166,42.814,41.5,679.9669799804688
13.688135147094727,14.19478702545166,42.814,41.5,679.9669799804688
13.688136100769043,14.19478702545166,42.814,41.5,679.9669799804688
13.688136100769043,14.19478702545166,42.814,41.5,679.9669799804688
13.707082748413086,14.243156433105469,43.37,41.79,676.2918701171875
13.707082748413086,14.243156433105469,43.37,41.79,676.2918701171875
12.907018661499023,13.51222038269043,43.984,42.17,667.443359375
12.907018661499023,13.51222038269043,43.984,42.17,667.443359375
15.172248840332031,15.685462951660156,37.456,36.47,630.4076538085938
15.172248840332031,15.685462951660156,37.456,36.47,630.4076538085938
15.172248840332031,15.685462951660156,37.456,36.47,630.4076538085938
12.768810272216797,13.289015769958496,44.698,42.980000000000004,664.6190795898438
13.383207321166992,13.906463623046875,39.300000000000004,38.01,628.180419921875
13.383207321166992,13.906463623046875,39.300000000000004,38.01,628.180419921875
12.345396041870117,12.849532127380371,45.0,42.88,658.7835693359375
13.856706619262695,14.379552841186523,41.22,39.61,623.1846313476562
13.362846374511719,13.822632789611816,45.686,44.12,659.694580078125
14.12303638458252,14.740327835083008,40.352,39.26,621.9295654296875
12.406112670898438,12.831944465637207,46.19,44.31,650.4627685546875
13.129764556884766,13.616437911987305,46.222,44.42,657.4656372070312
13.129764556884766,13.616437911987305,46.222,44.42,657.4656372070312
13.129764556884766,13.616437911987305,46.222,44.42,657.4656372070312
13.862890243530273,14.469146728515625,42.176,40.32,614.819091796875
12.997102737426758,13.454769134521484,46.254,44.46,646.0543212890625
13.024508476257324,13.57890510559082,42.448,40.739999999999995,610.4987182617188
13.024508476257324,13.57890510559082,42.448,40.739999999999995,610.4987182617188
13.024508476257324,13.57890510559082,42.448,40.739999999999995,610.4987182617188
12.350444793701172,12.911955833435059,47.370000000000005,45.71,636.6819458007812
12.350444793701172,12.911955833435059,47.370000000000005,45.71,636.6819458007812
13.14993953704834,13.561601638793945,42.874,40.92,606.4630737304688
13.14993953704834,13.561601638793945,42.874,40.92,606.4630737304688
13.14993953704834,13.561601638793945,42.874,40.92,606.4630737304688
12.130922317504883,12.766119003295898,44.034,41.980000000000004,606.1854248046875
11.836380958557129,12.443998336791992,47.94,45.85,633.24658203125
12.169388771057129,12.832261085510254,45.056000000000004,42.970000000000006,603.6034545898438
